path,status,N,E,weighted,weight_def,D_neg,mu_max,mu_min,mu_abs_sum,rank_eps,secs,D1_dim,D1,expl1,D2_dim,D2,expl2,D3_dim,D3,expl3,D5_dim,D5,expl5,D10_dim,D10,expl10,base,stem,derived
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Bangkok_networkx_unit_edge.txt,ok,854.0,1084.0,True,1/distance_km,0.1321126197646339,472.82740465624533,-38.32080206795774,1243.520394411763,768.0,1.2,0.4876544489693595,0.6197670687339935,0.4381132159830342,0.2010232311425207,0.3331358509071547,0.7683763634309275,0.1505286459942157,0.2826412657588497,0.8265573973971216,0.0986865462808617,0.2307991660454956,0.886291068947104,0.0559533883982829,0.1880660081629169,0.9355292061245218,Bangkok_networkx_unit_edge.txt,Bangkok_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Beijing_networkx_unit_edge.txt,ok,678.0,898.0,True,1/distance_km,0.1602788011526846,418.18662400526017,-46.14468287217635,1219.269243579996,647.0,0.6,0.4967398383256735,0.6570186394783581,0.4084467094464831,0.2109401685941447,0.3712189697468294,0.7487973759818114,0.1486614798120331,0.3089402809647178,0.8229632882722259,0.1015953472039833,0.261874148356668,0.8790130017636292,0.0559393025997136,0.2162181037523983,0.9333834817121428,Beijing_networkx_unit_edge.txt,Beijing_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/icon Networks/Tehnological Power grid/Chilean power grid with tap (Seung-Woo Son).csv,ok,304.0,384.0,True,1/distance,0.035177260266251,57504804.77179204,-1367234.6028230432,67617015.7651579,265.0,0.1,0.1143740158280205,0.1495512760942716,0.8814559285163789,0.0736924179568449,0.108869678223096,0.923620769990163,0.0492599159482626,0.0844371762145136,0.9489440765441988,0.0348715597029189,0.0700488199691699,0.9638570296212732,0.0195245949057879,0.0547018551720389,0.9797635419422474,Chilean power grid with tap (Seung-Woo Son).csv,Chilean power grid with tap (Seung-Woo Son),False
/home/hedgehog/Real_network_NEI/icon Networks/Tehnological Power grid/Chilean power grid without tap (Seung-Woo Son).csv,ok,280.0,358.0,True,1/distance,0.0365248284148217,56089828.58050824,-1436628.6796305592,65787270.70014544,243.0,0.1,0.1108812277481944,0.1474060561630162,0.8849153242156049,0.0709317102159145,0.1074565386307362,0.9263793065894862,0.0464731658890972,0.0829979943039189,0.951765061249439,0.0337378333305726,0.0702626617453943,0.9649831834534304,0.0191486680828021,0.0556734964976238,0.9801254161523464,Chilean power grid without tap (Seung-Woo Son).csv,Chilean power grid without tap (Seung-Woo Son),False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Delhi_networkx_unit_edge.txt,ok,405.0,482.0,True,1/distance_km,0.1255242161799288,231.22078587748527,-20.349213770074005,629.1943029534739,363.0,0.1,0.506988689941246,0.6325129061211748,0.4202370159108236,0.2072862181208493,0.3328104343007781,0.7629594530161401,0.1255377542961972,0.2510619704761261,0.8564422747674081,0.0767647718049928,0.2022889879849217,0.9122162406034244,0.0387709738840594,0.1642951900639882,0.9556637535293524,Delhi_networkx_unit_edge.txt,Delhi_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Dhaka_networkx_unit_edge.txt,ok,300.0,310.0,True,1/distance_km,0.0767798664791558,195.72384199935033,-15.6121553875953,413.6525001079774,172.0,0.1,0.4500600729669739,0.5268399394461298,0.512510552331003,0.251690878017669,0.3284707444968249,0.7273771781191484,0.1607340253586176,0.2375138918377735,0.8258984834465931,0.096579586462289,0.1733594529414449,0.8953883446042626,0.0420818117784674,0.1188616782576233,0.954418442308031,Dhaka_networkx_unit_edge.txt,Dhaka_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/icon Networks/Transportation Airport/Global air network(2023)_edge_list.txt,ok,3231.0,18905.0,True,traffic strength,0.1673247717968502,539.748322694825,-1174.4695265363905,12550.809370887851,3186.0,60.7,0.7896701671951485,0.9569949389919988,0.0516468600858979,0.7519325897442535,0.9192573615411036,0.0969677441145121,0.7224015215424753,0.8897262933393255,0.1324330338235673,0.679656286194597,0.8469810579914472,0.1837678566933665,0.6071189893959595,0.7744437611928098,0.2708814087023143,Global air network(2023)_edge_list.txt,Global air network(2023)_edge_list,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Guangzhou_networkx_unit_edge.txt,ok,159.0,189.0,True,1/distance_km,0.0844553156826482,168.5690505587806,-11.590768064888891,320.9740958915956,128.0,0.0,0.3903650741356244,0.4748203898182727,0.5736253174505751,0.1830524600986,0.2675077757812483,0.8000616865193341,0.1314515102381458,0.2159068259207941,0.856422616514716,0.0638620555496411,0.1483173712322893,0.9302469266180516,0.0203379377013121,0.1047932533839604,0.977785969325488,Guangzhou_networkx_unit_edge.txt,Guangzhou_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/HongKong_networkx_unit_edge.txt,ok,1112.0,1479.0,True,1/distance_km,0.1374818030143116,446.32620487879853,-35.82960759325444,1064.587799716978,1056.0,3.1,0.4432702918364323,0.580752094850744,0.4860742725364348,0.2918197745148536,0.4293015775291652,0.6616653706151363,0.1730176664902667,0.3104994695045784,0.799404039132246,0.118678725441977,0.2561605284562887,0.8624043807345361,0.0700533743313039,0.2075351773456156,0.9187804099946814,HongKong_networkx_unit_edge.txt,HongKong_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Jakarta_networkx_unit_edge.txt,ok,232.0,291.0,True,1/distance_km,0.1396510024165836,155.115846313119,-17.675236845420024,388.12604718811866,205.0,0.0,0.4606957214456856,0.6003467238622693,0.4645246025279195,0.1975661361566651,0.3372171385732488,0.7703651230935387,0.1318533788390802,0.2715043812556639,0.8467443104955833,0.078031568830817,0.2176825712474006,0.909302423725726,0.0363020610273243,0.175953063443908,0.9578054241600896,Jakarta_networkx_unit_edge.txt,Jakarta_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Karachi_networkx_unit_edge.txt,ok,316.0,419.0,True,1/distance_km,0.1005256249540861,369.347577300906,-17.643168502690408,695.9569522471254,298.0,0.1,0.3687697443811202,0.4692953693352064,0.5900163977853216,0.1457429676187587,0.2462685925728449,0.8379687385632087,0.0968943280041935,0.1974199529582796,0.8922767221698252,0.0518637114855829,0.152389336439669,0.9423399788538324,0.0262811383024869,0.126806763256573,0.9707816709051378,Karachi_networkx_unit_edge.txt,Karachi_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Kolkata_networkx_unit_edge.txt,ok,1426.0,1856.0,True,1/distance_km,0.1521713233035017,699.0978436129443,-69.56314981209749,1936.5926224733976,1380.0,4.7,0.4868349212209337,0.6390062445244353,0.4257862058666736,0.1822413109985209,0.3344126343020226,0.7850493666850117,0.1459340186409855,0.2981053419444872,0.8278732217343645,0.1130743463353652,0.265245669638867,0.8666306655538581,0.0743144258176378,0.2264857491211395,0.9123473552378552,Kolkata_networkx_unit_edge.txt,Kolkata_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Manila_networkx_unit_edge.txt,ok,733.0,1027.0,True,1/distance_km,0.1490140961124935,408.4970059845936,-35.55439076560275,1174.6761653157998,687.0,0.6,0.5032330354407603,0.6522471315532538,0.4086470373458928,0.1950066053379635,0.344020701450457,0.77084625673924,0.161443663471288,0.3104577595837816,0.8102863246808496,0.1174481659936428,0.2664622621061364,0.8619857679697023,0.0668490107381453,0.2158631068506388,0.9214452196766562,Manila_networkx_unit_edge.txt,Manila_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Nagoya_networkx_unit_edge.txt,ok,566.0,947.0,True,1/distance_km,0.1879935800110167,303.57135021896175,-49.80421625089386,945.52493351761,555.0,0.4,0.4909452406823796,0.6789388206933964,0.3953924148912017,0.2031901131900176,0.3911836932010344,0.7497678488887137,0.1525731985886961,0.3405667785997128,0.8121034577648213,0.095185725204256,0.2831793052152727,0.8827771272971616,0.0509532697549974,0.2389468497660141,0.937250163914112,Nagoya_networkx_unit_edge.txt,Nagoya_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/icon Networks/Transportation Airport/Openflights airport network (2010)_edge_list.txt,ok,2905.0,15645.0,True,traffic strength,0.1682825458956885,1072.8221145358427,-1209.7311077378076,18056.46222215515,2856.0,73.6,0.7723025974542919,0.9405851433499804,0.0714363469911838,0.7181201837767858,0.8864027296724744,0.1365815635669929,0.674359785470303,0.8426423313659915,0.1891960639487472,0.6253249142738299,0.7936074601695184,0.2481522286348418,0.5501501427273773,0.7184326886230659,0.3385372159589437,Openflights airport network (2010)_edge_list.txt,Openflights airport network (2010)_edge_list,False
/home/hedgehog/Real_network_NEI/icon Networks/Transportation Airport/Openflights_airport_network_(2010)_edge_list.txt.cleaned.tsv,ok,2905.0,15645.0,True,traffic strength,0.1682825458956886,1072.8221145358443,-1209.7311077378083,18056.46222215516,2856.0,73.2,0.7723025974542918,0.9405851433499804,0.0714363469911839,0.7181201837767859,0.8864027296724745,0.1365815635669931,0.6743597854703028,0.8426423313659914,0.1891960639487473,0.6253249142738296,0.7936074601695182,0.2481522286348419,0.5501501427273774,0.718432688623066,0.3385372159589436,Openflights_airport_network_(2010)_edge_list.txt.cleaned.tsv,Openflights_airport_network_(2010)_edge_list,True
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Seoul_networkx_unit_edge.txt,ok,716.0,1036.0,True,1/distance_km,0.1597189467902714,515.6819144976787,-56.840699480849096,1230.781703075203,681.0,0.9,0.4212937435924278,0.5810126903826993,0.4986275818273439,0.1943955386283808,0.3541144854186523,0.7686541450794069,0.1584656193955954,0.3181845661858669,0.8114135517035826,0.1117913815012812,0.2715103282915527,0.8669595356526751,0.05768335889668,0.2174023056869515,0.931352303284312,Seoul_networkx_unit_edge.txt,Seoul_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Shenzhen_networkx_unit_edge.txt,ok,93.0,106.0,True,1/distance_km,0.1142516782894433,88.22875529612685,-6.911614651845566,176.48702104921952,72.0,0.0,0.3858319268867061,0.5000836051761495,0.5644000474744478,0.2549859180496594,0.3692375963391028,0.712123735603325,0.1772386460373014,0.2914903243267448,0.7998995406561785,0.1064659362516883,0.2207176145411317,0.8798011425569721,0.0341377625765564,0.1483894408659998,0.9614588458822824,Shenzhen_networkx_unit_edge.txt,Shenzhen_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Taipei_networkx_unit_edge.txt,ok,1014.0,1587.0,True,1/distance_km,0.1912325898235686,655.1510693258942,-112.3195284573432,1808.856408075109,1001.0,3.0,0.4465766545138124,0.6378092443373811,0.4478305519056554,0.1813634692643248,0.3725960590878935,0.7757532425487312,0.1445623768754733,0.3357949666990419,0.8212559321054524,0.102899418829455,0.2941320086530237,0.8727700726627846,0.0634526254866699,0.2546852153102386,0.9215440376451024,Taipei_networkx_unit_edge.txt,Taipei_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Tehran_networkx_unit_edge.txt,ok,435.0,638.0,True,1/distance_km,0.1578002636506848,215.2835172316914,-25.186961309330066,571.1376084152498,423.0,0.2,0.4652616498712698,0.6230619135219547,0.4475637668944894,0.1753134665303488,0.3331137301810336,0.791838611479172,0.1350117810393715,0.2928120446900564,0.8396914945323929,0.093394345415382,0.2511946090660669,0.8891066556014152,0.0487606819533557,0.2065609456040406,0.9421031854453926,Tehran_networkx_unit_edge.txt,Tehran_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/SHL network/road_data_2km/Asia_2km/Tokyo_networkx_unit_edge.txt,ok,1253.0,1958.0,True,1/distance_km,0.1929966465830748,599.5268287711942,-57.99421625168355,1895.604575575739,1220.0,5.7,0.4907312592808875,0.6837279058639623,0.3919092687743032,0.2766884774214696,0.4696851240045444,0.6571408579035695,0.2053121418754846,0.3983087884585594,0.7455870028220151,0.1500580217558222,0.343054668338897,0.8140552686423633,0.0899005285205573,0.2828971751036321,0.8885995601630277,Tokyo_networkx_unit_edge.txt,Tokyo_networkx_unit_edge,False
/home/hedgehog/Real_network_NEI/icon Networks/Transportation Airport/US airport networks (2010)_edge_list.txt,ok,1572.0,17214.0,True,traffic strength,0.2998794495405922,17.18722396548334,-62.138018554272136,207.30213175146295,1138.0,10.6,0.6172114948685598,0.917090944409152,0.1184211141016278,0.595123658449965,0.8950031079905572,0.1499697329846202,0.5740490208010055,0.8739284703415977,0.1800711742794525,0.5463923347934025,0.8462717843339949,0.2195739227553471,0.4963588622765049,0.7962383118170971,0.2910380048824416,US airport networks (2010)_edge_list.txt,US airport networks (2010)_edge_list,False
/home/hedgehog/Real_network_NEI/icon Networks/Transportation Airport/US airport networks (2010)_edge_list 2.txt,ok,1572.0,17214.0,True,traffic strength,0.2998794495405923,17.18722396548334,-62.138018554272136,207.30213175146292,1138.0,6.7,0.6172114948685598,0.917090944409152,0.1184211141016278,0.595123658449965,0.8950031079905573,0.1499697329846202,0.5740490208010055,0.8739284703415978,0.1800711742794525,0.5463923347934027,0.846271784333995,0.2195739227553471,0.496358862276505,0.7962383118170973,0.2910380048824414,US airport networks (2010)_edge_list 2.txt,US airport networks (2010)_edge_list 2,False
/home/hedgehog/Real_network_NEI/network repository/Collaboration Networks/ca-Erdos992.edges,ok,5026.0,7455.0,False,unweighted,0.3685390680368565,5622.833374623942,-1688.9948995374411,275445.9267285535,5019.0,223.2,0.6110473667984456,0.979586434835302,0.0323275188240615,0.5910828591023172,0.9596219271391736,0.0639438971074513,0.575633040087126,0.9441721081239824,0.0884106823560006,0.5479640835564659,0.9165031515933224,0.132228051143394,0.4906369980580443,0.8591760660949008,0.2230129003662869,ca-Erdos992.edges,ca-Erdos992,False
/home/hedgehog/Real_network_NEI/network repository/Collaboration Networks/ca-GrQc.edges,ok,4057.0,13414.0,False,unweighted,0.4351779515373648,3099.5216199667725,-1419.0664695695334,413023.2756326067,4021.0,118.4,0.557317576432047,0.992495527969412,0.0132864360571868,0.5509448528649211,0.986122804402286,0.0245691463983847,0.5446314003985265,0.9798093519358914,0.0357469190855148,0.533050951852379,0.968228903389744,0.056249745732718,0.5083012266369442,0.943479178174309,0.1000683701699188,ca-GrQc.edges,ca-GrQc,False
/home/hedgehog/Real_network_NEI/network repository/Collaboration Networks/ca-sandi_auths.edges,ok,81.0,118.0,False,unweighted,0.2171364175537496,268.10913337624396,-50.883512266484104,1383.2737830509814,78.0,0.0,0.5890414073560117,0.8061778249097614,0.2475810338304323,0.4425686106682489,0.6597050282219985,0.4346797825422736,0.3210630375550255,0.5381994551087752,0.5898863547186791,0.2141133335456327,0.4312497510993823,0.726499816383612,0.1051931751248698,0.3223295926786195,0.865630261154609,ca-sandi_auths.edges,ca-sandi_auths,False
/home/hedgehog/Real_network_NEI/network repository/Social Networks/fb-pages-food.edges,ok,620.0,2090.0,False,unweighted,0.2166385994488829,3197.4188467883514,-653.7586913831116,16624.757313334994,599.0,0.5,0.5910326473233242,0.807671246772207,0.245517270946059,0.5020017932730748,0.7186403927219577,0.3591696081528879,0.4446258990370929,0.6612644984859758,0.4324128062420667,0.3567603090098229,0.5733989084587058,0.5445776256542231,0.2580079273500872,0.4746465267989701,0.6706399789821513,fb-pages-food.edges,fb-pages-food,False
/home/hedgehog/Real_network_NEI/network repository/Infrastructure Networks/inf-USAir97.mtx,ok,332.0,2126.0,True,matrix weight,0.2331315519747189,2162327.098882162,-2117800.512129454,9252528.506314782,327.0,0.1,0.5331672389550912,0.7662987909298102,0.3047474565839556,0.371781982045856,0.6049135340205749,0.515194577370851,0.2715963628066848,0.5047279147814038,0.645837087826397,0.2078818594373778,0.4410134114120968,0.7289210946510023,0.1478201156594756,0.3809516676341946,0.8072418860886521,inf-USAir97.mtx,inf-USAir97,False
/home/hedgehog/Real_network_NEI/network repository/Infrastructure Networks/inf-power.mtx,ok,4941.0,6594.0,False,unweighted,0.1291389739598233,400900.76725157973,-24803.01581235369,1341817.2397056972,4665.0,331.5,0.5720865317286339,0.7012255056884572,0.3430794183890357,0.3772091552661438,0.5063481292259671,0.5668549355328006,0.3224336084503323,0.4515725824101556,0.6297530848102771,0.2722617570928834,0.4014007310527067,0.6873648619563753,0.1996315007055575,0.3287704746653808,0.7707653750297151,inf-power.mtx,inf-power,False
/home/hedgehog/Real_network_NEI/network repository/Infrastructure Networks/inf-power 2.mtx,ok,4941.0,6594.0,False,unweighted,0.1291389739598233,400900.76725157973,-24803.01581235369,1341817.2397056972,4665.0,343.4,0.5720865317286339,0.7012255056884572,0.3430794183890357,0.3772091552661438,0.5063481292259671,0.5668549355328006,0.3224336084503323,0.4515725824101556,0.6297530848102771,0.2722617570928834,0.4014007310527067,0.6873648619563753,0.1996315007055575,0.3287704746653808,0.7707653750297151,inf-power 2.mtx,inf-power 2,False
/home/hedgehog/Real_network_NEI/network repository/Power Networks/power-494-bus.mtx,ok,494.0,586.0,False,unweighted,0.1627569476907713,11269.366076808055,-1524.7643495656378,45570.789615980066,434.0,0.2,0.589949420318786,0.7527063680095574,0.2953665979172638,0.4546353442618486,0.61739229195262,0.4569852290706941,0.3812451029141415,0.5440020506049128,0.5446422614524942,0.2778540378607269,0.4406109855514982,0.6681321665263532,0.1696853631514726,0.332442310842244,0.7973284308738571,power-494-bus.mtx,power-494-bus,False
/home/hedgehog/Real_network_NEI/network repository/Power Networks/power-662-bus.mtx,ok,662.0,906.0,False,unweighted,0.1998788269166074,13071.090507004694,-1290.9218382871636,64867.07998293538,649.0,0.6,0.5986154091358967,0.7984942360525041,0.2518440590329106,0.4775162412292684,0.6773950681458759,0.4031950943266696,0.3881174090785984,0.5879962359952058,0.5149267109343864,0.296330723255762,0.4962095501723694,0.6296426926014154,0.1897767061996012,0.3896555331162087,0.7628150427912475,power-662-bus.mtx,power-662-bus,False
/home/hedgehog/Real_network_NEI/network repository/Power Networks/power-685-bus.mtx,ok,685.0,1282.0,False,unweighted,0.1524367655512653,26105.247682793924,-2471.4669080046024,88038.12876483767,682.0,0.7,0.551041170099494,0.7034779356507594,0.349852438493397,0.3134522166858277,0.4658889822370931,0.6301724709782854,0.2260645168222432,0.3785012823735085,0.7332771082628681,0.1577014676855799,0.3101382332368453,0.8139354548712218,0.1107527130611417,0.2631894786124071,0.8693280824843983,power-685-bus.mtx,power-685-bus,False
/home/hedgehog/Real_network_NEI/network repository/Power Networks/power-US-Grid.mtx,ok,4941.0,6594.0,False,unweighted,0.1291389739598231,400900.7672515797,-24803.015812353668,1341817.2397056976,4665.0,345.2,0.5720865317286342,0.7012255056884573,0.3430794183890354,0.3772091552661438,0.506348129225967,0.5668549355328004,0.3224336084503325,0.4515725824101556,0.6297530848102768,0.2722617570928834,0.4014007310527065,0.6873648619563749,0.1996315007055575,0.3287704746653807,0.7707653750297149,power-US-Grid.mtx,power-US-Grid,False
/home/hedgehog/Real_network_NEI/network repository/Power Networks/power-bcspwr09.mtx,ok,1723.0,2394.0,False,unweighted,0.1530186203338455,118831.98615022996,-7770.423397391468,341191.27783546207,1654.0,13.8,0.4986958463896086,0.6517144667234541,0.4112080166553669,0.3391457982928316,0.4921644186266771,0.5995829348379427,0.2907010512783751,0.4437196716122206,0.6567798793959818,0.2224887351474575,0.375507355481303,0.7373156712900185,0.1515539206946909,0.3045725410285365,0.8210658175809867,power-bcspwr09.mtx,power-bcspwr09,False
/home/hedgehog/Real_network_NEI/network repository/Power Networks/power-bcspwr10.mtx,ok,5300.0,8271.0,False,unweighted,0.1617093559224509,548261.8743233765,-26509.67669530555,1916478.9991986272,5260.0,437.3,0.5522129596611629,0.7139223155836139,0.3412631244753837,0.381990893882238,0.543700249804689,0.5443216543319781,0.3238075249472315,0.4855168808696825,0.6137288096498468,0.2531113111847074,0.4148206671071583,0.6980625836958613,0.1864179687389395,0.3481273246613905,0.7776213177899974,power-bcspwr10.mtx,power-bcspwr10,False
/home/hedgehog/Real_network_NEI/network repository/Power Networks/power-eris1176.mtx,ok,1174.0,8687.0,False,unweighted,0.0826955351454977,77585.24771410142,-8799.25636384774,143679.43323058932,1027.0,3.9,0.3773159225167424,0.4600114576622401,0.5886688259207481,0.2332565281787145,0.3159520633242123,0.7457152590926152,0.1639920453965342,0.2466875805420319,0.8212239755940297,0.1311687033801911,0.2138642385256889,0.8570063611311471,0.0971858099775513,0.179881345123049,0.8940528322916576,power-eris1176.mtx,power-eris1176,False
/home/hedgehog/Real_network_NEI/network repository/Social Networks/soc-advogato.edges,ok,5054.0,39374.0,False,unweighted,0.4305480962888639,2327.954486820916,-1139.7789259645515,205585.6974674933,5019.0,369.6,0.5581283801611137,0.9886764764499776,0.0198849516108849,0.5505108528947728,0.9810589491836368,0.0332618974366822,0.5439171437496739,0.9744652400385378,0.0448409423079475,0.532343303052561,0.9628913993414248,0.0651654694922207,0.5094132674812867,0.9399613637701506,0.105432321568469,soc-advogato.edges,soc-advogato,False
/home/hedgehog/Real_network_NEI/network repository/Social Networks/soc-hamsterster.edges,ok,2000.0,16096.0,False,unweighted,0.3799442070101237,2001.68792419328,-690.5519064952764,58024.37205664387,1987.0,23.0,0.5855584282921726,0.9655026353022964,0.0556359042004253,0.5670685821512369,0.9470127891613608,0.0854555532545512,0.550382101969474,0.9303263089795976,0.1123668092583077,0.5250650469028548,0.9050092539129786,0.1531970947791343,0.4742949874032655,0.8542391944133891,0.2350769192619907,soc-hamsterster.edges,soc-hamsterster,False
/home/hedgehog/Real_network_NEI/network repository/Social Networks/soc-wiki-Vote.mtx,ok,889.0,2914.0,False,unweighted,0.3262143276426479,2400.8339564003463,-370.8391897306711,23555.753261580736,874.0,1.0,0.5718643315392645,0.8980786591819124,0.1512667083903678,0.5342327532488654,0.8604470808915133,0.2071176708466318,0.506964037469619,0.833178365112267,0.2475885756134876,0.4625755115547191,0.788789839197367,0.3134678718585373,0.4003563441783132,0.726570671820961,0.4058105409430871,soc-wiki-Vote.mtx,soc-wiki-Vote,False
